timestamp,load_value
2024/5/28 9:45,9767.927
2024/5/28 10:00,9867.374
2024/5/28 10:15,9928.788
2024/5/28 10:30,9772.966
2024/5/28 10:45,9795.531
2024/5/28 11:00,9941.285
2024/5/28 11:15,9978.494
2024/5/28 11:30,9694.755
2024/5/28 11:45,8940.493
2024/5/28 12:00,8185.81
2024/5/28 12:15,8074.964
2024/5/28 12:30,8012.481
2024/5/28 12:45,8196.626
2024/5/28 13:00,8443.065
2024/5/28 13:15,9695.548
2024/5/28 13:30,10297.268
2024/5/28 13:45,10254.462
2024/5/28 14:00,10410.272
2024/5/28 14:15,10569.653
2024/5/28 14:30,10753.434
2024/5/28 14:45,10815.249
2024/5/28 15:00,10977.754
2024/5/28 15:15,10791.022
2024/5/28 15:30,10355.214
2024/5/28 15:45,9560.715
2024/5/28 16:00,9258.783
2024/5/28 16:15,8933.741
2024/5/28 16:30,8533.564
2024/5/28 16:45,8560.06
2024/5/28 17:00,8235.431
2024/5/28 17:15,8302.095
2024/5/28 17:30,7598.738
2024/5/28 17:45,6787.742
2024/5/28 18:00,6899.76
2024/5/28 18:15,6735.192
2024/5/28 18:30,6819.998
2024/5/28 18:45,7140.114
2024/5/28 19:00,6978.371
2024/5/28 19:15,7140.569
2024/5/28 19:30,7061.482
2024/5/28 19:45,6976.43
2024/5/28 20:00,7008.892
2024/5/28 20:15,7118.944
2024/5/28 20:30,6979.071
2024/5/28 20:45,6877.788
2024/5/28 21:00,6759.892
2024/5/28 21:15,6685.872
2024/5/28 21:30,6430.888
2024/5/28 21:45,6120.328
2024/5/28 22:00,5887.732
2024/5/28 22:15,5900.05
2024/5/28 22:30,5890.547
2024/5/28 22:45,5755.932
2024/5/28 23:00,5497.636
2024/5/28 23:15,5071.733
2024/5/28 23:30,4604.724
2024/5/28 23:45,4017.057
2024/5/29 0:00,3673.915
2024/5/29 0:15,3422.49
2024/5/29 0:30,3442.808
2024/5/29 0:45,3562.595
2024/5/29 1:00,3513.504
2024/5/29 1:15,3540.531
2024/5/29 1:30,3503.293
2024/5/29 1:45,3464.549
2024/5/29 2:00,3399.558
2024/5/29 2:15,3409.965
2024/5/29 2:30,3411.742
2024/5/29 2:45,3425.589
2024/5/29 3:00,3432.906
2024/5/29 3:15,3390.69
2024/5/29 3:30,3333.512
2024/5/29 3:45,3198.247
2024/5/29 4:00,3125.644
2024/5/29 4:15,3161.122
2024/5/29 4:30,3213.479
2024/5/29 4:45,3330.917
2024/5/29 5:00,3394.722
2024/5/29 5:15,3469.014
2024/5/29 5:30,3557.888
2024/5/29 5:45,3602.852
2024/5/29 6:00,3537.253
2024/5/29 6:15,3485.426
2024/5/29 6:30,3501.515
2024/5/29 6:45,3520.051
2024/5/29 7:00,3556.137
2024/5/29 7:15,3624.076
2024/5/29 7:30,4085.749
2024/5/29 7:45,5015.536
2024/5/29 8:00,5910.301
2024/5/29 8:15,7027.457
2024/5/29 8:30,7919.591
2024/5/29 8:45,8653.945
2024/5/29 9:00,9031.816
2024/5/29 9:15,9760.753
2024/5/29 9:30,9703.735
2024/5/29 9:45,9920.581
2024/5/29 10:00,10300.844
2024/5/29 10:15,10434.419
2024/5/29 10:30,10477.569
2024/5/29 10:45,10473.268
2024/5/29 11:00,10852.362
2024/5/29 11:15,10935.823
2024/5/29 11:30,10438.163
2024/5/29 11:45,9404.296
2024/5/29 12:00,8790.832
2024/5/29 12:15,8667.255
